Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get«Î«Û,2,2,280.9999999954016,296.9999999986612,280.9999999954016,313.00000000192085,2443.0,2.197906218984467,2.197906218984467,310,310,310,310,310,310,310,310,310,310,310
GET,get«Î«Û2,2,2,234.00000000401633,242.00000000200816,234.00000000401633,250.0,2443.0,2.197906218984467,2.197906218984467,250,250,250,250,250,250,250,250,250,250,250
,Aggregated,4,4,250.0,269.5000000003347,234.00000000401633,313.00000000192085,2443.0,4.395812437968934,4.395812437968934,280,280,310,310,310,310,310,310,310,310,310
